event_date,site_id,workflow,records_received,records_delivered,records_valid,p95_latency_seconds,bytes_per_record,delivery_rate_pct,valid_rate_pct,batches_total,batches_failed,batches_retried,max_retry_count,max_batch_duration_s,dq_worst_rule_fail_pct,dq_rules_breaching,dq_worst_rule_id,dq_breaching_rule_ids,baseline_delivery_pct,baseline_valid_pct,baseline_p95_s,flag_delivery,flag_valid,flag_latency,flag_retry,any_flag
2026-06-01,SITE-01,EHR_TO_EDC,15295,15093,14842,284,1070,98.68,98.34,3,0,0,0,286,0.67,0,DQ-02,,98.91,98.34,265.5,False,False,False,False,False
2026-06-01,SITE-02,EHR_TO_EDC,12086,11975,11773,325,967,99.08,98.31,3,0,0,0,215,0.397,0,DQ-01,,98.84,98.26,307.5,False,False,False,False,False
2026-06-01,SITE-03,EHR_TO_EDC,8395,8305,8191,313,930,98.93,98.63,3,0,0,0,217,0.432,0,DQ-01,,98.93,98.32,349.0,False,False,False,False,False
2026-06-01,SITE-04,EHR_TO_EDC,8077,7964,7818,387,960,98.6,98.17,3,0,0,0,134,0.814,0,DQ-03,,98.88,98.31,378.0,False,False,False,False,False
2026-06-01,SITE-05,EHR_TO_EDC,5156,5114,5044,432,968,99.19,98.63,3,0,0,0,210,0.243,0,DQ-01,,98.92,98.28,395.5,False,False,False,False,False
2026-06-01,SITE-06,EHR_TO_EDC,3038,3002,2955,459,970,98.82,98.43,3,0,0,0,257,0.518,0,DQ-02,,98.86,98.24,446.0,False,False,False,False,False
2026-06-02,SITE-01,EHR_TO_EDC,16087,15935,15664,262,941,99.06,98.3,3,0,0,0,165,1.247,1,DQ-03,DQ-03,98.91,98.34,265.5,False,False,False,False,False
2026-06-02,SITE-02,EHR_TO_EDC,13235,13077,12802,312,941,98.81,97.9,3,0,0,0,128,0.437,0,DQ-03,,98.84,98.26,307.5,False,False,False,False,False
2026-06-02,SITE-03,EHR_TO_EDC,9023,8933,8780,324,937,99.0,98.29,3,0,0,0,270,0.417,0,DQ-02,,98.93,98.32,349.0,False,False,False,False,False
2026-06-02,SITE-04,EHR_TO_EDC,8310,8205,8091,381,1018,98.74,98.61,3,0,0,0,117,0.393,0,DQ-02,,98.88,98.31,378.0,False,False,False,False,False
2026-06-02,SITE-05,EHR_TO_EDC,4338,4278,4215,365,933,98.62,98.53,3,0,0,0,146,0.317,0,DQ-02,,98.92,98.28,395.5,False,False,False,False,False
2026-06-02,SITE-06,EHR_TO_EDC,3646,3608,3548,450,970,98.96,98.34,3,0,0,0,210,0.378,0,DQ-01,,98.86,98.24,446.0,False,False,False,False,False
2026-06-03,SITE-01,EHR_TO_EDC,17003,16839,16578,236,1024,99.04,98.45,3,0,0,0,225,0.636,0,DQ-01,,98.91,98.34,265.5,False,False,False,False,False
2026-06-03,SITE-02,EHR_TO_EDC,13040,12925,12755,272,1044,99.12,98.68,3,0,0,0,226,0.658,0,DQ-03,,98.84,98.26,307.5,False,False,False,False,False
2026-06-03,SITE-03,EHR_TO_EDC,9287,9174,9021,319,953,98.78,98.33,3,0,0,0,248,0.376,0,DQ-03,,98.93,98.32,349.0,False,False,False,False,False
2026-06-03,SITE-04,EHR_TO_EDC,8345,8246,8112,344,920,98.81,98.37,3,0,0,0,317,0.753,0,DQ-04,,98.88,98.31,378.0,False,False,False,False,False
2026-06-03,SITE-05,EHR_TO_EDC,4957,4891,4815,440,925,98.67,98.45,3,0,0,0,213,0.394,0,DQ-02,,98.92,98.28,395.5,False,False,False,False,False
2026-06-03,SITE-06,EHR_TO_EDC,3205,3175,3131,473,974,99.06,98.61,3,0,0,0,121,0.321,0,DQ-04,,98.86,98.24,446.0,False,False,False,False,False
2026-06-04,SITE-01,EHR_TO_EDC,17253,17088,16752,267,938,99.04,98.03,3,0,0,0,193,0.666,0,DQ-01,,98.91,98.34,265.5,False,False,False,False,False
2026-06-04,SITE-02,EHR_TO_EDC,13453,13338,13096,334,1073,99.15,98.19,3,0,0,0,163,0.398,0,DQ-02,,98.84,98.26,307.5,False,False,False,False,False
2026-06-04,SITE-03,EHR_TO_EDC,10130,10026,9885,353,1043,98.97,98.59,3,0,0,0,267,0.275,0,DQ-01,,98.93,98.32,349.0,False,False,False,False,False
2026-06-04,SITE-04,EHR_TO_EDC,8995,8915,8786,379,999,99.11,98.55,3,0,0,0,275,0.892,0,DQ-01,,98.88,98.31,378.0,False,False,False,False,False
2026-06-04,SITE-05,EHR_TO_EDC,4987,4922,4829,396,1061,98.7,98.11,3,0,0,0,265,0.392,0,DQ-02,,98.92,98.28,395.5,False,False,False,False,False
2026-06-04,SITE-06,EHR_TO_EDC,3379,3338,3271,449,940,98.79,97.99,3,0,0,0,232,0.988,0,DQ-02,,98.86,98.24,446.0,False,False,False,False,False
2026-06-05,SITE-01,EHR_TO_EDC,17875,17726,17490,238,981,99.17,98.67,3,0,0,0,269,0.374,0,DQ-01,,98.91,98.34,265.5,False,False,False,False,False
2026-06-05,SITE-02,EHR_TO_EDC,14684,14543,14319,322,937,99.04,98.46,3,0,0,0,205,0.424,0,DQ-01,,98.84,98.26,307.5,False,False,False,False,False
2026-06-05,SITE-03,EHR_TO_EDC,10036,9941,9759,366,1077,99.05,98.17,3,0,0,0,209,0.642,0,DQ-04,,98.93,98.32,349.0,False,False,False,False,False
2026-06-05,SITE-04,EHR_TO_EDC,8299,8218,8061,356,988,99.02,98.09,3,0,0,0,256,0.437,0,DQ-04,,98.88,98.31,378.0,False,False,False,False,False
2026-06-05,SITE-05,EHR_TO_EDC,5586,5526,5452,372,1014,98.93,98.66,3,0,0,0,198,0.413,0,DQ-01,,98.92,98.28,395.5,False,False,False,False,False
2026-06-05,SITE-06,EHR_TO_EDC,4148,4100,4043,416,1035,98.84,98.61,3,0,0,0,160,0.48,0,DQ-02,,98.86,98.24,446.0,False,False,False,False,False
2026-06-06,SITE-01,EHR_TO_EDC,18354,18134,17813,291,1071,98.8,98.23,3,0,0,0,278,0.76,0,DQ-02,,98.91,98.34,265.5,False,False,False,False,False
2026-06-06,SITE-02,EHR_TO_EDC,14580,14382,14090,320,999,98.64,97.97,3,0,0,0,245,0.455,0,DQ-02,,98.84,98.26,307.5,False,False,False,False,False
2026-06-06,SITE-03,EHR_TO_EDC,10261,10177,10005,304,999,99.18,98.31,3,0,0,0,273,0.358,0,DQ-03,,98.93,98.32,349.0,False,False,False,False,False
